name,address,zipcode,cuisine,violation_code,critical_flag,grade
jessie's express cafe,411 8 avenue,10001,sandwiches/salads/mixed buffet,02G,Critical,A
ambrose hall,18 fulton st,10038,seafood,10F,Not Critical,A
american whiskey,247 w 30th st,10001,american,02G,Critical,A
sushi jun,875 3 avenue,10022,japanese,06A,Critical,A
playstation theater,1515 broadway,10036,american,08C,Not Critical,A
red mango,2655 richmond ave,10314,"ice cream, gelato, yogurt, ices",04H,Critical,A
121 fulton street,121 fulton street,10038,american,10F,Not Critical,A
lounge 247 i m o k,247 eldridge street,10002,american,04H,Critical,B
bani restaurant,1430 watson ave,10472,spanish,04L,Critical,A
uncle louie gs italian ices & ice cream,3316 amboy road,10306,"ice cream, gelato, yogurt, ices",06C,Critical,A
dunkin' donuts,712 east  233 street,10466,donuts,04A,Critical,A
la traviata pizza,101 west   68 street,10023,pizza,08A,Not Critical,A
yummy city,1557 lexington avenue,10029,chinese,08A,Not Critical,A
indikitch,940 8th ave,10019,indian,10B,Not Critical,A
small peace soup & smoothie,316 5 avenue,10001,"juice, smoothies, fruit salads",06C,Critical,A
conde nast,1 world trade center,10048,american,02G,Critical,A
olmsted cafeteria- kiosk,0 david dinkin's circle,11358,american,10F,Not Critical,A
subway,2508 broadway,10025,sandwiches,10B,Not Critical,A
lady m confections (plaza hotel 770 5th avenue),1 west   59 street,10019,bakery,06C,Critical,A
park tower management,535 madison avenue,10022,american,05D,Critical,A
oovina,496 9 avenue,10018,american,10B,Not Critical,A
sociale,72 henry st,11201,italian,02G,Critical,A
locanda mariella,492 6 avenue,11215,italian,10B,Not Critical,A
south,629 5 avenue,11215,american,10H,Not Critical,A
"dunkin' donuts, baskin robbins",13328 springfield boulevard,11413,american,10F,Not Critical,A
el caribe restaurant,1562 st nicholas avenue,10040,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,A
wichcraft,11 east   20 street,10003,sandwiches,06E,Critical,A
belle harbor yacht club,533 beach 126th st,11694,american,08A,Not Critical,A
thai holic,372 myrtle ave,11205,thai,10H,Not Critical,A
subway,156 west   29 street,10001,sandwiches,02G,Critical,A
subway,3976 white plains rd,10466,sandwiches/salads/mixed buffet,08A,Not Critical,A
above rooftop,1100 south avenue,10314,american,10F,Not Critical,A
subway,581 3 avenue,10016,sandwiches,04A,Critical,A
e.j. michael's,137 barnard avenue,10307,american,04H,Critical,A
red hook lobster pound,16 extra pl,10003,seafood,09B,Not Critical,A
ceci italian cuisine,46 west   46 street,10036,italian,06D,Critical,A
arts and crafts beer parlor,26 w 8th st,10011,american,04L,Critical,A
sushi 21,174 7 ave,10011,japanese,10F,Not Critical,A
229 linden restaurant,22902 linden blvd,11411,caribbean,10F,Not Critical,A
